City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Champasak,LA,2021-09-22 18:20:20,14.75,106.0,72.46,99,94,2.33
229,Bentiu,SS,2021-09-22 18:20:20,9.2333,29.8333,77.02,80,87,2.75
230,Matara,LK,2021-09-22 18:20:21,5.9485,80.5353,79.36,87,28,8.88
231,Wicklow,IE,2021-09-22 18:20:21,53.0,-6.4167,59.13,77,66,9.55
232,Belozerskoye,RU,2021-09-22 18:20:22,55.8214,65.5842,41.79,82,100,4.79
233,Bud,US,2021-09-22 18:17:21,39.447,-86.1758,56.3,96,100,13.15
234,Broome,US,2021-09-22 18:20:22,42.2506,-75.833,77.94,66,90,1.01
235,Soledad,CO,2021-09-22 18:20:23,10.9184,-74.7646,89.06,70,40,5.75
236,Adrar,MR,2021-09-22 18:19:21,20.5022,-10.0711,101.14,9,0,9.19
237,Salinopolis,BR,2021-09-22 18:20:24,-0.6136,-47.3561,85.12,66,90,12.37
238,Dukat,RU,2021-09-22 18:20:25,62.55,155.55,37.9,88,100,2.59
239,Sernur,RU,2021-09-22 18:20:25,56.9333,49.1536,48.81,59,100,12.93
240,Aklavik,CA,2021-09-22 18:20:26,68.2191,-135.0107,36.32,71,100,13.09
241,Aykhal,RU,2021-09-22 18:20:26,66.0,111.5,32.14,81,100,5.14
242,Vila Franca Do Campo,PT,2021-09-22 18:20:27,37.7167,-25.4333,73.81,67,12,11.23
243,Santiago De Cao,PE,2021-09-22 18:20:27,-7.9589,-79.2392,64.53,77,90,17.27
244,Kihei,US,2021-09-22 18:19:46,20.785,-156.4656,80.62,71,20,17.27
245,Newberg,US,2021-09-22 18:16:25,45.3001,-122.9732,66.54,87,90,1.99
246,Isangel,VU,2021-09-22 18:20:28,-19.55,169.2667,73.51,94,63,3.44
247,Alice Springs,AU,2021-09-22 18:17:27,-23.7,133.8833,40.55,48,0,0.0
248,Markova,UA,2021-09-22 18:20:29,48.6758,24.4138,44.19,92,100,8.21
249,Hermanus,ZA,2021-09-22 18:20:30,-34.4187,19.2345,67.89,69,90,11.12
250,Los Llanos De Aridane,ES,2021-09-22 18:20:30,28.6585,-17.9182,71.35,81,40,13.8
251,Svetlogorsk,BY,2021-09-22 18:20:31,52.6333,29.7333,41.5,96,100,7.49
252,Guerrero Negro,MX,2021-09-22 18:19:34,27.9769,-114.0611,78.15,66,99,5.84
253,Pevek,RU,2021-09-22 18:20:31,69.7008,170.3133,27.37,65,100,9.4
254,San Marcos,US,2021-09-22 18:19:10,33.1434,-117.1661,102.47,42,1,3.0
255,Lengshuijiang,CN,2021-09-22 18:20:32,27.6881,111.4294,75.83,66,10,1.12
256,Portland,US,2021-09-22 18:19:07,45.5234,-122.6762,68.27,80,75,1.99
257,Mehamn,NO,2021-09-22 18:20:33,71.0357,27.8492,48.38,79,97,35.01
258,Padang,ID,2021-09-22 18:20:34,-0.9492,100.3543,77.52,84,71,4.18
259,Maues,BR,2021-09-22 18:20:34,-3.3836,-57.7186,95.5,41,29,4.83
260,High Level,CA,2021-09-22 18:20:35,58.5169,-117.136,59.11,55,40,6.91
261,Vila Velha,BR,2021-09-22 18:19:30,-20.3297,-40.2925,71.55,68,90,17.27
262,Opuwo,NA,2021-09-22 18:20:35,-18.0607,13.84,83.89,14,52,8.97
263,Omboue,GA,2021-09-22 18:20:36,-1.5746,9.2618,77.97,84,61,7.99
264,Vestmanna,FO,2021-09-22 18:20:36,62.1564,-7.1664,47.32,76,90,13.8
265,Yulara,AU,2021-09-22 18:20:37,-25.2406,130.9889,44.44,42,38,4.61
266,Lieksa,FI,2021-09-22 18:20:38,63.3167,30.0167,40.06,81,4,6.98
267,Coos Bay,US,2021-09-22 18:20:18,43.3665,-124.2179,74.86,75,75,0.0
268,Rawson,AR,2021-09-22 18:20:38,-43.3002,-65.1023,71.15,29,34,13.85
269,Olden,NO,2021-09-22 18:20:39,61.8364,6.8064,55.9,96,100,6.64
270,Belaya Gora,RU,2021-09-22 18:20:39,68.5333,146.4167,29.48,76,83,1.41
271,Margate,GB,2021-09-22 18:20:40,51.3813,1.3862,63.95,74,58,1.99
272,Port Hardy,CA,2021-09-22 18:20:40,50.6996,-127.4199,57.38,82,75,11.5
273,Concordia,AR,2021-09-22 18:20:41,-31.393,-58.0209,68.07,56,75,10.89
274,Carrboro,US,2021-09-22 18:20:42,35.9101,-79.0753,79.32,94,40,1.01
275,San Patricio,US,2021-09-22 18:20:42,28.017,-97.5169,86.09,25,71,16.6
276,Texarkana,US,2021-09-22 18:18:37,33.4251,-94.0477,79.02,34,1,10.0
277,Kathmandu,NP,2021-09-22 18:16:59,27.7167,85.3167,70.02,94,75,3.44
278,Craigieburn,AU,2021-09-22 18:20:06,-37.6,144.95,52.63,92,20,11.5
279,Sao Filipe,CV,2021-09-22 18:20:43,14.8961,-24.4956,79.16,80,60,7.58
280,Moindou,NC,2021-09-22 18:20:44,-21.6924,165.677,62.55,77,99,6.71
